id,summary,parent_interest_id,registered,published,updated_1,category,mnis_id,twfy_id,party,member,payment_received,received_date,job_title,payment_type,payment_description,value,hours_worked,hours_details,is_ultimate_payer_different,ultimate_payer_name,ultimate_payer_protected_by_confidentiality,ultimate_payer_address,ultimate_payer_nature_of_business,is_payment_donated,donatee_paid_by,donatee_type,donatee_details,link,category_code
12923,Payment received on 17 July 2025 - £300.00,11234,2025-07-18,2025-07-18,,Employment and earnings - Ad hoc payments,4480,25308,labour,Carolyn Harris,1,,,Monetary,,300,7,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12923,1.1
12934,"Payment received on 18 July 2025 - £1,500.00",6031,2025-07-18,2025-07-18,,Employment and earnings - Ad hoc payments,5197,26437,conservative,Dr Neil Shastri-Hurst,1,,,Monetary,,1500,7.5,Approximate number of hours worked,1,Powell & Co,0,"Verbruggens House, Number One Street, Royal Woolwich Arsenal, London, SE18 6HG",Solicitor,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12934,1.1
12930,Payment received on 02 July 2025 - £280.00,12725,2025-07-18,2025-07-18,,Employment and earnings - Ad hoc payments,4084,24882,conservative,Esther McVey,1,,,Monetary,For 7 shows.,280,1.15,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12930,1.1
12919,"Payment received on 09 July 2025 - £1,465.02",11729,2025-07-17,2025-07-17,,Employment and earnings - Ad hoc payments,4118,24961,conservative,Sir Julian Smith,1,,,Monetary,Expenses reimbursed for travelling to a voluntary Board meeting attended.,1465.02,0,I have not specified the number of hours because this expense payment related to attendance at a voluntary board meeting in my capacity as Chair,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12919,1.1
12920,"Payment received on 01 June 2025 - £4,100.00",4136,2025-07-17,2025-07-17,,Employment and earnings - Ad hoc payments,1171,11360,labour,Liam Byrne,1,,,Monetary,Advance for book,4100,40,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12920,1.1
12906,"Payment received on 27 June 2025 - £1,131.00",5988,2025-07-16,2025-07-16,,Employment and earnings - Ad hoc payments,5067,26346,labour,Tony Vaughan,1,,,Monetary,,1131,3,"21/4/25 1.5hours
23/4/25 1.5hours",1,confidential,0,confidential,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12906,1.1
12851,"Payment received on 25 June 2025 - £2,392.50",11839,2025-07-09,2025-07-14,,Employment and earnings - Ad hoc payments,350,10265,conservative,Sir John Hayes,1,,,Monetary,,2392.5,8,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12851,1.1
12873,Payment received on 09 July 2025 - £51.91,11502,2025-07-11,2025-07-11,,Employment and earnings - Ad hoc payments,4743,25894,reform,Lee Anderson,1,,,Monetary,,51.91,3,This is an estimated number of hours,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12873,1.1
12871,"Payment received on 08 July 2025 - £2,250.00",10930,2025-07-10,2025-07-11,,Employment and earnings - Ad hoc payments,4475,25272,reform,Suella Braverman,1,,,Monetary,For articles,2250,9,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12871,1.1
12874,Payment received on 25 June 2025 - £105.74,11502,2025-07-11,2025-07-11,,Employment and earnings - Ad hoc payments,4743,25894,reform,Lee Anderson,1,,,Monetary,,105.74,9,This is an estimated number of hours,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12874,1.1
