id,category,end_date,has_sought_acoba_advice,is_paid_as_director_of_payer,is_until_further_notice,job_title,link,member,mnis_id,parent_interest_id,payer_is_private_individual,payer_name,payer_nature_of_business,payer_public_address,published,registered,source_archive,start_date,summary,twfy_id,updated_1,updated_2,updated_3,updated_4,updated_5,updated_6,updated_7
5025,Employment and earnings,2024-05-07,,False,True,Legal consultant,https://interests-api.parliament.uk/api/v1/Interests/5025,Sir Jeremy Wright,1560,,False,Bird and Bird LLP,Law firm,"12 New Fetter Lane, London EC4A 1JP",2024-03-18,,Apr07_25,2022-10-06,Legal consultant - Bird and Bird LLP,,2024-05-15,,,,,,
4970,Employment and earnings,2024-10-24,,False,True,Marketing advisory services,https://interests-api.parliament.uk/api/v1/Interests/4970,Mark Pritchard,1576,,False,ATS Group,an industrial manufacturing and technology business,"1550, No. 17 Industrial Zone Vizbegovo, Skopje, North Macedonia",2024-03-18,,Apr07_25,2023-11-01,Marketing advisory services - ATS Group,,2024-11-19,,,,,,
4367,Employment and earnings,,,False,False,Broadcast appearances,https://interests-api.parliament.uk/api/v1/Interests/4367,Jess Phillips,4370,,False,News UK & Ireland,,"1 London Bridge St, London SE1 9GF",2024-03-18,,Apr07_25,,Broadcast appearances,,,,,,,,
4828,Employment and earnings,2024-04-17,,False,True,Consultancy advice,https://interests-api.parliament.uk/api/v1/Interests/4828,Barry Gardiner,146,,False,World Climate Initiative,,"8th Floor, 167 Fleet Street, London EC3A 2EA",2024-03-18,,Apr07_25,2022-11-22,Consultancy advice - World Climate Initiative,,,,,,,,
3830,Employment and earnings,,,False,False,Participating in a seminar,https://interests-api.parliament.uk/api/v1/Interests/3830,Sir Mark Tami,1383,,False,Eden Partners,,"50 Broadway, London SW1H 0RG",2024-03-18,,Apr07_25,,Participating in a seminar,,,,,,,,
3888,Employment and earnings,,,False,False,Writing articles,https://interests-api.parliament.uk/api/v1/Interests/3888,Chris Bryant,1446,,False,Guardian News & Media Ltd,,"Kings Place, 90 York Way, London N1 9GU",2024-03-18,,Apr07_25,,Writing articles,,,,,,,,
3825,Employment and earnings,,,False,False,Writing a book and recording an audio book,https://interests-api.parliament.uk/api/v1/Interests/3825,Wes Streeting,4504,,False,United Agents Ltd,,"12-26 Lexington Street, London W1F 0LE",2024-03-18,2022-05-17,Apr07_25,,Writing a book and recording an audio book,,2023-03-24,,,,,,
4515,Employment and earnings,,,False,False,Writing articles,https://interests-api.parliament.uk/api/v1/Interests/4515,Ms Stella Creasy,4088,,False,Guardian news and media,,"90 York Way, London N1 9GU",2024-03-18,,Apr07_25,,Writing articles,,,,,,,,
4172,Employment and earnings,,,False,False,Legal services,https://interests-api.parliament.uk/api/v1/Interests/4172,Sir Geoffrey Cox,1508,,False,Khan Partnership Solicitors,,"48-49 Russell Square, London WC1B 4JP",2024-03-18,,Apr07_25,,Legal services,,,,,,,,
3942,Employment and earnings,,,False,False,Writing articles,https://interests-api.parliament.uk/api/v1/Interests/3942,Alicia Kearns,4805,,False,Reach PLC,commercial news publisher,"One Canada Square, London E14 5AP",2024-03-16,,Apr07_25,,Writing articles,,,,,,,,
