id,appg,category,donors_isprivateindividual_1,donors_isprivateindividual_2,donors_isprivateindividual_3,donors_isprivateindividual_4,donors_isprivateindividual_5,donors_issolebeneficiary_1,donors_issolebeneficiary_2,donors_issolebeneficiary_3,donors_issolebeneficiary_4,donors_issolebeneficiary_5,donors_name_1,donors_name_2,donors_name_3,donors_name_4,donors_name_5,donors_paymentdescription_1,donors_paymentdescription_2,donors_paymentdescription_3,donors_paymentdescription_4,donors_paymentdescription_5,donors_paymenttype_1,donors_paymenttype_2,donors_paymenttype_3,donors_paymenttype_4,donors_paymenttype_5,donors_publicaddress_1,donors_publicaddress_2,donors_publicaddress_3,donors_publicaddress_4,donors_publicaddress_5,donors_value_1,donors_value_2,donors_value_3,donors_value_4,donors_value_5,end_date,link,member,mnis_id,parent_interest_id,published,purpose,registered,source_archive,start_date,summary,twfy_id,updated_1,visitlocations_country_1,visitlocations_country_2,visitlocations_country_3,visitlocations_destination_1,visitlocations_destination_2,visitlocations_destination_3
9892,,Visits outside the UK,False,,,,,True,,,,,Progressive Policy Institute,,,,,"flights, accommodation and meals",,,,,In kind,,,,,"1919 M Street, Northwest Suite 300, Washington DC 20036, United States of America",,,,,7856.00,,,,,2024-01-19,https://interests-api.parliament.uk/api/v1/Interests/9892,Kanishka Narayan,5039,,2024-08-04,Comparative policy analysis between the UK and US,2024-08-03,Apr07_25,2024-01-14,International visit to United States between 14 January 2024 and 19 January 2024,,,United States,,,,,
9886,,Visits outside the UK,False,,,,,True,,,,,Progressive Policy Institute,,,,,"Flight, accommodation, meals",,,,,In kind,,,,,"1919 M St NW, Washington, DC 20036, United States",,,,,7856.00,,,,,2024-01-19,https://interests-api.parliament.uk/api/v1/Interests/9886,Mr Hamish Falconer,5148,,2024-08-04,Comparative policy analysis between the UK and US,2024-08-03,Apr07_25,2024-01-14,International visit to United States between 14 January 2024 and 19 January 2024,,,United States,,,,,
8516,As part of a cross party delegation of MPs attending 12th Senior Leader's Forum,Visits outside the UK,True,,,,,False,,,,,All Party Parliamentary China Group,,,,,"flights (£3,064), hotel (£423) and meals (£63)",,,,,In kind,,,,,,,,,,3855.00,,,,,2024-03-23,https://interests-api.parliament.uk/api/v1/Interests/8516,Sir Geoffrey Clifton-Brown,249,,2024-08-04,Engagements with British business and other connected meetings,2024-07-31,Apr07_25,2024-03-19,International visit to China between 19 March 2024 and 23 March 2024,,,China,,,Beijing,,
8856,,Visits outside the UK,True,,,,,True,,,,,Tom Howat,,,,,Accommodation (£376.50),,,,,In kind,,,,,,,,,,376.50,,,,,2024-02-12,https://interests-api.parliament.uk/api/v1/Interests/8856,Olly Glover,5318,,2024-08-04,Holiday,2024-08-01,Apr07_25,2024-02-09,International visit to Ireland between 09 February 2024 and 12 February 2024,,,Ireland,,,"Ballyportry Castle, near Ennis",,
9473,,Visits outside the UK,False,,,,,True,,,,,Conservative Friends of Israel Ltd (CFI Ltd),,,,,"flights, accommodation and hospitality",,,,,In kind,,,,,"CFI Ltd, PO Box 72288, London SW1P 9LB",,,,,2650.00,,,,,2024-02-15,https://interests-api.parliament.uk/api/v1/Interests/9473,Katie Lam,5285,,2024-08-04,Fact finding political delegation,2024-08-02,Apr07_25,2024-02-12,International visit to Israel between 12 February 2024 and 15 February 2024,,,Israel,,,,,
9826,,Visits outside the UK,False,,,,,True,,,,,Le Cercle,,,,,"Flights (£300), accommodation (£300) and meals (£200)",,,,,In kind,,,,,"85 Gt Portland St
London W1W 7LT",,,,,800.00,,,,,2024-05-12,https://interests-api.parliament.uk/api/v1/Interests/9826,Richard Tice,5161,,2024-08-04,Speak and research,2024-08-04,Apr07_25,2024-05-09,International visit to Germany between 09 May 2024 and 12 May 2024,,,Germany,,,,,
8852,,Visits outside the UK,True,,,,,True,,,,,Tom Howat,,,,,"Accommodation, meals and a boat trip",,,,,In kind,,,,,,,,,,442.54,,,,,2023-09-13,https://interests-api.parliament.uk/api/v1/Interests/8852,Olly Glover,5318,,2024-08-04,Holiday with friends. The dates are for this specific aspect which was funded by another person. It was part of a wider holiday and I covered remaining costs.,2024-08-01,Apr07_25,2023-09-08,International visit to Croatia between 08 September 2023 and 13 September 2023,,,Croatia,,,Split,,
10176,,Visits outside the UK,False,,,,,True,,,,,Progressive Policy Institute,,,,,"Flights, accommodation and meals",,,,,In kind,,,,,"1919 M Street Northwest, Suite 300, Washington DC 20036 United States",,,,,7856.00,,,,,2024-01-19,https://interests-api.parliament.uk/api/v1/Interests/10176,Dr Zubir Ahmed,5213,,2024-08-04,Comparative policy analysis between the UK and USA.,2024-08-04,Apr07_25,2024-01-14,International visit to United States between 14 January 2024 and 19 January 2024,,,United States,,,,,
9928,,Visits outside the UK,False,,,,,True,,,,,Labour Middle East Council,,,,,"Flights, accommodation and meals",,,,,In kind,,,,,"62 Seymour Grove Old Traffford, Manchester, United Kingdom, M16 0LN",,,,,1200.00,,,,,2024-04-21,https://interests-api.parliament.uk/api/v1/Interests/9928,Mr Hamish Falconer,5148,,2024-08-04,To deepen my understanding of the circumstances in Iraqi Kurdistan and the role of Iraqi Kurds in trans-national challenges facing the UK,2024-08-03,Apr07_25,2024-04-16,International visit to Iraq between 16 April 2024 and 21 April 2024,,,Iraq,,,,,
9438,,Visits outside the UK,False,,,,,True,,,,,MIPIM (RX Global),,,,,conference pass and accommodation,,,,,In kind,,,,,"125 London Wall, Barbican, London EC2Y 5AJ",,,,,2050.00,,,,,2024-03-14,https://interests-api.parliament.uk/api/v1/Interests/9438,Satvir Kaur,5271,,2024-08-04,Attended in my role as Chair of LGA City Regions Board.,2024-08-02,Apr07_25,2024-03-11,International visit to France between 11 March 2024 and 14 March 2024,,,France,,,,,
