id,summary,parent_interest_id,registered,published,updated_1,category,mnis_id,twfy_id,party,member,regularity_of_payment,start_date,end_date,period_for_hours_worked,job_title,payment_type,payment_description,value,hours_worked,hours_details,is_ultimate_payer_different,ultimate_payer_name,ultimate_payer_protected_by_confidentiality,ultimate_payer_address,ultimate_payer_nature_of_business,is_payment_donated,donatee_paid_by,donatee_type,donatee_details,link,updated_2,updated_3,updated_4,updated_5,updated_6,category_code
6267,"Agreement - £11,751.00",6253,2024-07-15,2024-07-15,,Employment and earnings - Ongoing paid employment,5050,26316,conservative,Lewis Cocking,Yearly,,,Monthly,,Monetary,,11751,10,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/6267,,,,,,1.2
6304,"Agreement - £1,006.75",6301,2024-07-15,2024-07-15,,Employment and earnings - Ongoing paid employment,5330,26625,conservative,Mr Peter Bedford,Monthly,,,Monthly,,Monetary,Income represents the 'Basic Allowance' payable as a County Councillor,1006.75,20,Hours worked will vary depending on casework.,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/6304,,,,,,1.2
6130,"Agreement - £14,458.00",6127,2024-07-11,2024-07-11,2024-08-17,Employment and earnings - Ongoing paid employment,5327,26582,liberal-democrat,Vikki Slade,Yearly,,,Weekly,,Monetary,,14458,15,(there is no specific number of hours),0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/6130,,,,,,1.2
4856,"Agreement starting 01 April 2020 - £41,713.60",4855,2020-04-29,2024-03-18,2022-04-22,Employment and earnings - Ongoing paid employment,350,10265,conservative,Sir John Hayes,Yearly,,,Monthly,,Monetary,paid monthly,41713.6,30,(between 20 and 30 hrs),0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/4856,2023-09-29,,,,,1.2
5018,"Agreement starting 21 February 2023 - £60,000.00",5017,2023-03-15,2024-03-18,2024-09-12,Employment and earnings - Ongoing paid employment,4108,24729,conservative,Sir Gavin Williamson,Yearly,,,Yearly,,Monetary,paid quarterly,60000,80,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/5018,,,,,,1.2
4866,"Agreement starting 25 September 2023 - £26,211.60",4865,2023-10-26,2024-03-18,2024-11-04,Employment and earnings - Ongoing paid employment,4592,25597,conservative,Dr Caroline Johnson,Yearly,,,Yearly,,Monetary,"Pay has increased from £25,203.60 per annum, first paid from 22 August 2025 (including pay arrears of £336)",26211.6,336,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/4866,2025-08-20,,,,,1.2
4712,"Agreement starting 01 November 2023 - £293,400.00",4711,2020-10-19,2024-03-18,2021-10-19,Employment and earnings - Ongoing paid employment,1508,11541,conservative,Sir Geoffrey Cox,Yearly,,,Monthly,,Monetary,(plus VAT) paid quarterly for international legal services,293400,30,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/4712,2024-01-03,,,,,1.2
4834,"Agreement starting 01 October 2020 - £2,500.00",4833,2020-10-26,2024-03-18,2022-09-22,Employment and earnings - Ongoing paid employment,4074,24824,conservative,Mark Garnier,Monthly,,,Monthly,,Monetary,,2500,10,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/4834,,,,,,1.2
4896,"Agreement - £2,500.00",4893,2020-01-11,2024-03-18,,Employment and earnings - Ongoing paid employment,4857,25562,dup,Carla Lockhart,Yearly,,,Weekly,,Monetary,,2500,8,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/4896,,,,,,1.2
4743,"Agreement starting 01 January 2020 - £4,672.00",4742,2020-01-07,2024-03-18,2020-07-08,Employment and earnings - Ongoing paid employment,4823,25821,sinn-fein,John Finucane,Monthly,,,Monthly,,Monetary,,4672,80,(between 40 and 80 hours a month),0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/4743,,,,,,1.2
4719,"Agreement starting 04 April 2023 - £50,000.00",4718,2023-04-04,2024-03-18,,Employment and earnings - Ongoing paid employment,4008,24873,conservative,Dame Caroline Dinenage,Yearly,,,Monthly,,Monetary,"paid monthly, plus reimbursed expenses",50000,25,approx.,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/4719,,,,,,1.2
4837,"Agreement starting 01 September 2023 - £8,000.00",4836,2023-09-01,2024-03-18,,Employment and earnings - Ongoing paid employment,4074,24824,conservative,Mark Garnier,Yearly,,,Yearly,,Monetary,,8000,50,(maximum),0,,0,,,1,Paid direct to the recipient by the payer,Other,Kemyel Ltd,https://interests-api.parliament.uk/api/v1/Interests/4837,,,,,,1.2
4962,"Agreement starting 01 April 2022 - £2,083.33",4961,2022-06-06,2024-03-18,2025-02-03,Employment and earnings - Ongoing paid employment,1576,11946,conservative,Mark Pritchard,Monthly,,,Monthly,,Monetary,,2083.33,10,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/4962,,,,,,1.2
4924,"Agreement starting 30 June 2023 - £18,078.00",4923,2023-06-30,2024-03-18,2024-08-04,Employment and earnings - Ongoing paid employment,4656,25689,liberal-democrat,Layla Moran,Yearly,,,Yearly,,Monetary,"paid quarterly, current remuneration level backdated to 1 April 2025",18078,120,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/4924,2025-06-19,,,,,1.2
4850,"Agreement starting 01 September 2018 - £50,000.00",4849,2018-09-28,2024-03-18,2018-12-12,Employment and earnings - Ongoing paid employment,350,10265,conservative,Sir John Hayes,Yearly,,,Yearly,,Monetary,,50000,80,(between 70 and 80 hrs),0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/4850,2025-02-13,,,,,1.2
4221,"Agreement starting 01 April 2023 - £25,000.00",4217,2023-04-14,2024-03-16,,Employment and earnings - Ongoing paid employment,3912,24787,conservative,Richard Fuller,Yearly,,,Monthly,,Monetary,paid quarterly,25000,10,expected commitment,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/4221,,,,,,1.2
4180,"Agreement starting 01 March 2023 - £100,000.00",4178,2023-03-07,2024-03-16,,Employment and earnings - Ongoing paid employment,4743,25894,reform,Lee Anderson,Yearly,,,Weekly,,Monetary,paid monthly,100000,8,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/4180,,,,,,1.2
4197,"Agreement starting 01 December 2019 - £33,900.00",4196,2020-01-09,2024-03-16,,Employment and earnings - Ongoing paid employment,373,10162,conservative,David Davis,Yearly,,,Yearly,,Monetary,paid quarterly,33900,16,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/4197,,,,,,1.2
4034,"Agreement - £3,000.00",4033,2020-01-07,2024-03-16,,Employment and earnings - Ongoing paid employment,4739,25904,conservative,Jerome Mayhew,Yearly,,,Yearly,,Monetary,,3000,20,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/4034,,,,,,1.2
